telepules,szerkezet,szerkezet_tipus,szerep,bp_legal_81
Gelsesziget,Nagykanizsai településegyüttes,településegyüttes,egyéb,n/a
Homokkomárom,Nagykanizsai településegyüttes,településegyüttes,egyéb,n/a
Hosszúvölgy,Nagykanizsai településegyüttes,településegyüttes,egyéb,n/a
Kacorlak,Nagykanizsai településegyüttes,településegyüttes,egyéb,n/a
Kisrécse,Nagykanizsai településegyüttes,településegyüttes,egyéb,n/a
Liszó,Nagykanizsai településegyüttes,településegyüttes,egyéb,n/a
Magyarszentmiklós,Nagykanizsai településegyüttes,településegyüttes,egyéb,n/a
Magyarszerdahely,Nagykanizsai településegyüttes,településegyüttes,egyéb,n/a
Molnári,Nagykanizsai településegyüttes,településegyüttes,egyéb,n/a
Murakeresztúr,Nagykanizsai településegyüttes,településegyüttes,egyéb,n/a
Nagykanizsa,Nagykanizsai településegyüttes,településegyüttes,központ,n/a
Nagyrécse,Nagykanizsai településegyüttes,településegyüttes,egyéb,n/a
Petrivente,Nagykanizsai településegyüttes,településegyüttes,egyéb,n/a
Rigyác,Nagykanizsai településegyüttes,településegyüttes,egyéb,n/a
Semjénháza,Nagykanizsai településegyüttes,településegyüttes,egyéb,n/a
Sormás,Nagykanizsai településegyüttes,településegyüttes,egyéb,n/a
Szepetnek,Nagykanizsai településegyüttes,településegyüttes,egyéb,n/a
Zalaszentbalázs,Nagykanizsai településegyüttes,településegyüttes,egyéb,n/a
Zalasárszeg,Nagykanizsai településegyüttes,településegyüttes,egyéb,n/a
Zalaújlak,Nagykanizsai településegyüttes,településegyüttes,egyéb,n/a
Újudvar,Nagykanizsai településegyüttes,településegyüttes,egyéb,n/a
Apagy,Nyíregyházi településegyüttes,településegyüttes,egyéb,n/a
Kemecse,Nyíregyházi településegyüttes,településegyüttes,egyéb,n/a
Kótaj,Nyíregyházi településegyüttes,településegyüttes,egyéb,n/a
Napkor,Nyíregyházi településegyüttes,településegyüttes,egyéb,n/a
Nyíregyháza,Nyíregyházi településegyüttes,településegyüttes,központ,n/a
Nyírpazony,Nyíregyházi településegyüttes,településegyüttes,egyéb,n/a
Nyírtelek,Nyíregyházi településegyüttes,településegyüttes,egyéb,n/a
Nyírtura,Nyíregyházi településegyüttes,településegyüttes,egyéb,n/a
Sényő,Nyíregyházi településegyüttes,településegyüttes,egyéb,n/a
Tiszatelek,Nyíregyházi településegyüttes,településegyüttes,egyéb,n/a
Vasmegyer,Nyíregyházi településegyüttes,településegyüttes,egyéb,n/a
Abaliget,Pécsi agglomeráció,agglomeráció,egyéb,n/a
Aranyosgadány,Pécsi agglomeráció,agglomeráció,egyéb,n/a
Bakonya,Pécsi agglomeráció,agglomeráció,egyéb,n/a
Baksa,Pécsi agglomeráció,agglomeráció,egyéb,n/a
Berkesd,Pécsi agglomeráció,agglomeráció,egyéb,n/a
Bicsérd,Pécsi agglomeráció,agglomeráció,egyéb,n/a
Birján,Pécsi agglomeráció,agglomeráció,egyéb,n/a
Bisse,Pécsi agglomeráció,agglomeráció,egyéb,n/a
Boda,Pécsi agglomeráció,agglomeráció,egyéb,n/a
Bogád,Pécsi agglomeráció,agglomeráció,egyéb,n/a
Cserkút,Pécsi agglomeráció,agglomeráció,egyéb,n/a
Egerág,Pécsi agglomeráció,agglomeráció,egyéb,n/a
Ellend,Pécsi agglomeráció,agglomeráció,egyéb,n/a
Erzsébet,Pécsi agglomeráció,agglomeráció,egyéb,n/a
Gyód,Pécsi agglomeráció,agglomeráció,egyéb,n/a
Görcsöny,Pécsi agglomeráció,agglomeráció,egyéb,n/a
Hosszúhetény,Pécsi agglomeráció,agglomeráció,egyéb,n/a
Hásságy,Pécsi agglomeráció,agglomeráció,egyéb,n/a
Keszü,Pécsi agglomeráció,agglomeráció,egyéb,n/a
Kisherend,Pécsi agglomeráció,agglomeráció,egyéb,n/a
Kistótfalu,Pécsi agglomeráció,agglomeráció,egyéb,n/a
Kozármisleny,Pécsi agglomeráció,agglomeráció,egyéb,n/a
Kökény,Pécsi agglomeráció,agglomeráció,egyéb,n/a
Kővágószőlős,Pécsi agglomeráció,agglomeráció,egyéb,n/a
Kővágótöttös,Pécsi agglomeráció,agglomeráció,egyéb,n/a
Lothárd,Pécsi agglomeráció,agglomeráció,egyéb,n/a
Magyarsarlós,Pécsi agglomeráció,agglomeráció,egyéb,n/a
Martonfa,Pécsi agglomeráció,agglomeráció,egyéb,n/a
Mánfa,Pécsi agglomeráció,agglomeráció,egyéb,n/a
Nagykozár,Pécsi agglomeráció,agglomeráció,egyéb,n/a
Olasz,Pécsi agglomeráció,agglomeráció,egyéb,n/a
Orfű,Pécsi agglomeráció,agglomeráció,egyéb,n/a
Pellérd,Pécsi agglomeráció,agglomeráció,egyéb,n/a
Pereked,Pécsi agglomeráció,agglomeráció,egyéb,n/a
Pogány,Pécsi agglomeráció,agglomeráció,egyéb,n/a
Pécs,Pécsi agglomeráció,agglomeráció,központ,n/a
Pécsbagota,Pécsi agglomeráció,agglomeráció,egyéb,n/a
Pécsudvard,Pécsi agglomeráció,agglomeráció,egyéb,n/a
Pécsvárad,Pécsi agglomeráció,agglomeráció,egyéb,n/a
Romonya,Pécsi agglomeráció,agglomeráció,egyéb,n/a
Szabadszentkirály,Pécsi agglomeráció,agglomeráció,egyéb,n/a
Szalánta,Pécsi agglomeráció,agglomeráció,egyéb,n/a
Szemely,Pécsi agglomeráció,agglomeráció,egyéb,n/a
Szentlőrinc,Pécsi agglomeráció,agglomeráció,egyéb,n/a
Szilágy,Pécsi agglomeráció,agglomeráció,egyéb,n/a
Szőkéd,Pécsi agglomeráció,agglomeráció,egyéb,n/a
Túrony,Pécsi agglomeráció,agglomeráció,egyéb,n/a
Zók,Pécsi agglomeráció,agglomeráció,egyéb,n/a
Áta,Pécsi agglomeráció,agglomeráció,egyéb,n/a
Cered,Salgótarjáni településegyüttes,településegyüttes,egyéb,n/a
Etes,Salgótarjáni településegyüttes,településegyüttes,egyéb,n/a
Karancsalja,Salgótarjáni településegyüttes,településegyüttes,egyéb,n/a
Karancsberény,Salgótarjáni településegyüttes,településegyüttes,egyéb,n/a
Karancslapujtő,Salgótarjáni településegyüttes,településegyüttes,egyéb,n/a
Kazár,Salgótarjáni településegyüttes,településegyüttes,egyéb,n/a
Kishartyán,Salgótarjáni településegyüttes,településegyüttes,egyéb,n/a
Mátraszele,Salgótarjáni településegyüttes,településegyüttes,egyéb,n/a
Nagykeresztúr,Salgótarjáni településegyüttes,településegyüttes,egyéb,n/a
Salgótarján,Salgótarjáni településegyüttes,településegyüttes,központ,n/a
Somoskőújfalu,Salgótarjáni településegyüttes,településegyüttes,egyéb,n/a
Vizslás,Salgótarjáni településegyüttes,településegyüttes,egyéb,n/a
Ebergőc,Soproni településegyüttes,településegyüttes,egyéb,n/a
Fertőboz,Soproni településegyüttes,településegyüttes,egyéb,n/a
Fertőhomok,Soproni településegyüttes,településegyüttes,egyéb,n/a
Fertőrákos,Soproni településegyüttes,településegyüttes,egyéb,n/a
Harka,Soproni településegyüttes,településegyüttes,egyéb,n/a
Hegykő,Soproni településegyüttes,településegyüttes,egyéb,n/a
Hidegség,Soproni településegyüttes,településegyüttes,egyéb,n/a
Kópháza,Soproni településegyüttes,településegyüttes,egyéb,n/a
Nagycenk,Soproni településegyüttes,településegyüttes,egyéb,n/a
Nagylózs,Soproni településegyüttes,településegyüttes,egyéb,n/a
Pereszteg,Soproni településegyüttes,településegyüttes,egyéb,n/a
Pinnye,Soproni településegyüttes,településegyüttes,egyéb,n/a
Röjtökmuzsaj,Soproni településegyüttes,településegyüttes,egyéb,n/a
Sopron,Soproni településegyüttes,településegyüttes,központ,n/a
Ágfalva,Soproni településegyüttes,településegyüttes,egyéb,n/a
Algyő,Szegedi településegyüttes,településegyüttes,egyéb,n/a
Bordány,Szegedi településegyüttes,településegyüttes,egyéb,n/a
Deszk,Szegedi településegyüttes,településegyüttes,egyéb,n/a
Domaszék,Szegedi településegyüttes,településegyüttes,egyéb,n/a
Dóc,Szegedi településegyüttes,településegyüttes,egyéb,n/a
Ferencszállás,Szegedi településegyüttes,településegyüttes,egyéb,n/a
Klárafalva,Szegedi településegyüttes,településegyüttes,egyéb,n/a
Kübekháza,Szegedi településegyüttes,településegyüttes,egyéb,n/a
Röszke,Szegedi településegyüttes,településegyüttes,egyéb,n/a
Szatymaz,Szegedi településegyüttes,településegyüttes,egyéb,n/a
Szeged,Szegedi településegyüttes,településegyüttes,központ,n/a
Sándorfalva,Szegedi településegyüttes,településegyüttes,egyéb,n/a
Tiszasziget,Szegedi településegyüttes,településegyüttes,egyéb,n/a
Zsombó,Szegedi településegyüttes,településegyüttes,egyéb,n/a
Újszentiván,Szegedi településegyüttes,településegyüttes,egyéb,n/a
Üllés,Szegedi településegyüttes,településegyüttes,egyéb,n/a
Decs,Szekszárdi településegyüttes,településegyüttes,egyéb,n/a
Harc,Szekszárdi településegyüttes,településegyüttes,egyéb,n/a
Kakasd,Szekszárdi településegyüttes,településegyüttes,egyéb,n/a
Kéty,Szekszárdi településegyüttes,településegyüttes,egyéb,n/a
Sióagárd,Szekszárdi településegyüttes,településegyüttes,egyéb,n/a
Szekszárd,Szekszárdi településegyüttes,településegyüttes,központ,n/a
Szálka,Szekszárdi településegyüttes,településegyüttes,egyéb,n/a
Várdomb,Szekszárdi településegyüttes,településegyüttes,egyéb,n/a
Zomba,Szekszárdi településegyüttes,településegyüttes,egyéb,n/a
Őcsény,Szekszárdi településegyüttes,településegyüttes,egyéb,n/a
Besenyszög,Szolnoki településegyüttes,településegyüttes,egyéb,n/a
Rákóczifalva,Szolnoki településegyüttes,településegyüttes,egyéb,n/a
Rákócziújfalu,Szolnoki településegyüttes,településegyüttes,egyéb,n/a
Szajol,Szolnoki településegyüttes,településegyüttes,egyéb,n/a
Szolnok,Szolnoki településegyüttes,településegyüttes,központ,n/a
Szászberek,Szolnoki településegyüttes,településegyüttes,egyéb,n/a
Tiszajenő,Szolnoki településegyüttes,településegyüttes,egyéb,n/a
Tiszatenyő,Szolnoki településegyüttes,településegyüttes,egyéb,n/a
Tiszavárkony,Szolnoki településegyüttes,településegyüttes,egyéb,n/a
Tószeg,Szolnoki településegyüttes,településegyüttes,egyéb,n/a
Vezseny,Szolnoki településegyüttes,településegyüttes,egyéb,n/a
Zagyvarékas,Szolnoki településegyüttes,településegyüttes,egyéb,n/a
Újszász,Szolnoki településegyüttes,településegyüttes,egyéb,n/a
Acsád,Szombathelyi agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Balogunyom,Szombathelyi agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Bozsok,Szombathelyi agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Bozzai,Szombathelyi agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Bucsu,Szombathelyi agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Bögöt,Szombathelyi agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Csempeszkopács,Szombathelyi agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Csipkerek,Szombathelyi agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Dozmat,Szombathelyi agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Egyházasrádóc,Szombathelyi agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Felsőcsatár,Szombathelyi agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Gencsapáti,Szombathelyi agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Gyanógeregye,Szombathelyi agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Gyöngyösfalu,Szombathelyi agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Harasztifalu,Szombathelyi agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Horvátlövő,Szombathelyi agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Ják,Szombathelyi agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Kenéz,Szombathelyi agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Kisunyom,Szombathelyi agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Kám,Szombathelyi agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Kőszegpaty,Szombathelyi agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Lukácsháza,Szombathelyi agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Meggyeskovácsi,Szombathelyi agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Megyehíd,Szombathelyi agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Meszlen,Szombathelyi agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Nagykölked,Szombathelyi agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Narda,Szombathelyi agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Nemesbőd,Szombathelyi agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Nemeskolta,Szombathelyi agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Nemesrempehollós,Szombathelyi agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Nárai,Szombathelyi agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Pecöl,Szombathelyi agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Perenye,Szombathelyi agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Pornóapáti,Szombathelyi agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Pósfa,Szombathelyi agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Püspökmolnári,Szombathelyi agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Rum,Szombathelyi agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Rábahídvég,Szombathelyi agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Rábatöttös,Szombathelyi agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Rádóckölked,Szombathelyi agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Salköveskút,Szombathelyi agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Sorkifalud,Szombathelyi agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Sorkikápolna,Szombathelyi agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Sorokpolány,Szombathelyi agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Szeleste,Szombathelyi agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Szemenye,Szombathelyi agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Szentpéterfa,Szombathelyi agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Szombathely,Szombathelyi agglomerálódó térség,agglomerálódó térség,központ,n/a
Sé,Szombathelyi agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Söpte,Szombathelyi agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Tanakajd,Szombathelyi agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Torony,Szombathelyi agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Táplánszentkereszt,Szombathelyi agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Tömörd,Szombathelyi agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Vasasszonyfa,Szombathelyi agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Vaskeresztes,Szombathelyi agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Vassurány,Szombathelyi agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Vasszilvágy,Szombathelyi agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Vasszécseny,Szombathelyi agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Vát,Szombathelyi agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Vép,Szombathelyi agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Zsennye,Szombathelyi agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Ölbő,Szombathelyi agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Aba,Székesfehérvári településegyüttes,településegyüttes,egyéb,n/a
Bakonykúti,Székesfehérvári településegyüttes,településegyüttes,egyéb,n/a
Bodajk,Székesfehérvári településegyüttes,településegyüttes,egyéb,n/a
Csákberény,Székesfehérvári településegyüttes,településegyüttes,egyéb,n/a
Csór,Székesfehérvári településegyüttes,településegyüttes,egyéb,n/a
Csősz,Székesfehérvári településegyüttes,településegyüttes,egyéb,n/a
Fehérvárcsurgó,Székesfehérvári településegyüttes,településegyüttes,egyéb,n/a
Füle,Székesfehérvári településegyüttes,településegyüttes,egyéb,n/a
Gánt,Székesfehérvári településegyüttes,településegyüttes,egyéb,n/a
Hantos,Székesfehérvári településegyüttes,településegyüttes,egyéb,n/a
Iszkaszentgyörgy,Székesfehérvári településegyüttes,településegyüttes,egyéb,n/a
Isztimér,Székesfehérvári településegyüttes,településegyüttes,egyéb,n/a
Jenő,Székesfehérvári településegyüttes,településegyüttes,egyéb,n/a
Kincsesbánya,Székesfehérvári településegyüttes,településegyüttes,egyéb,n/a
Kisláng,Székesfehérvári településegyüttes,településegyüttes,egyéb,n/a
Káloz,Székesfehérvári településegyüttes,településegyüttes,egyéb,n/a
Kőszárhegy,Székesfehérvári településegyüttes,településegyüttes,egyéb,n/a
Lepsény,Székesfehérvári településegyüttes,településegyüttes,egyéb,n/a
Lovasberény,Székesfehérvári településegyüttes,településegyüttes,egyéb,n/a
Magyaralmás,Székesfehérvári településegyüttes,településegyüttes,egyéb,n/a
Moha,Székesfehérvári településegyüttes,településegyüttes,egyéb,n/a
Nagylók,Székesfehérvári településegyüttes,településegyüttes,egyéb,n/a
Nádasdladány,Székesfehérvári településegyüttes,településegyüttes,egyéb,n/a
Polgárdi,Székesfehérvári településegyüttes,településegyüttes,egyéb,n/a
Pákozd,Székesfehérvári településegyüttes,településegyüttes,egyéb,n/a
Pátka,Székesfehérvári településegyüttes,településegyüttes,egyéb,n/a
Seregélyes,Székesfehérvári településegyüttes,településegyüttes,egyéb,n/a
Soponya,Székesfehérvári településegyüttes,településegyüttes,egyéb,n/a
Sukoró,Székesfehérvári településegyüttes,településegyüttes,egyéb,n/a
Szabadbattyán,Székesfehérvári településegyüttes,településegyüttes,egyéb,n/a
Szabadegyháza,Székesfehérvári településegyüttes,településegyüttes,egyéb,n/a
Székesfehérvár,Székesfehérvári településegyüttes,településegyüttes,központ,n/a
Sárkeresztes,Székesfehérvári településegyüttes,településegyüttes,egyéb,n/a
Sárkeresztúr,Székesfehérvári településegyüttes,településegyüttes,egyéb,n/a
Sárkeszi,Székesfehérvári településegyüttes,településegyüttes,egyéb,n/a
Sárosd,Székesfehérvári településegyüttes,településegyüttes,egyéb,n/a
Sárszentmihály,Székesfehérvári településegyüttes,településegyüttes,egyéb,n/a
Sárszentágota,Székesfehérvári településegyüttes,településegyüttes,egyéb,n/a
Söréd,Székesfehérvári településegyüttes,településegyüttes,egyéb,n/a
Tác,Székesfehérvári településegyüttes,településegyüttes,egyéb,n/a
Zichyújfalu,Székesfehérvári településegyüttes,településegyüttes,egyéb,n/a
Zámoly,Székesfehérvári településegyüttes,településegyüttes,egyéb,n/a
Úrhida,Székesfehérvári településegyüttes,településegyüttes,egyéb,n/a
Héreg,Tatabányai településegyüttes,településegyüttes,egyéb,n/a
Kecskéd,Tatabányai településegyüttes,településegyüttes,egyéb,n/a
Kömlőd,Tatabányai településegyüttes,településegyüttes,egyéb,n/a
Környe,Tatabányai településegyüttes,településegyüttes,egyéb,n/a
Szárliget,Tatabányai településegyüttes,településegyüttes,egyéb,n/a
Tarján,Tatabányai településegyüttes,településegyüttes,egyéb,n/a
Tatabánya,Tatabányai településegyüttes,településegyüttes,központ,n/a
Várgesztes,Tatabányai településegyüttes,településegyüttes,egyéb,n/a
Vértessomló,Tatabányai településegyüttes,településegyüttes,egyéb,n/a
Vértesszőlős,Tatabányai településegyüttes,településegyüttes,egyéb,n/a
Vértestolna,Tatabányai településegyüttes,településegyüttes,egyéb,n/a
Borzavár,Veszprémi településegyüttes,településegyüttes,egyéb,n/a
Bánd,Veszprémi településegyüttes,településegyüttes,egyéb,n/a
Csehbánya,Veszprémi településegyüttes,településegyüttes,egyéb,n/a
Eplény,Veszprémi településegyüttes,településegyüttes,egyéb,n/a
Hajmáskér,Veszprémi településegyüttes,településegyüttes,egyéb,n/a
Herend,Veszprémi településegyüttes,településegyüttes,egyéb,n/a
Hidegkút,Veszprémi településegyüttes,településegyüttes,egyéb,n/a
Hárskút,Veszprémi településegyüttes,településegyüttes,egyéb,n/a
Királyszentistván,Veszprémi településegyüttes,településegyüttes,egyéb,n/a
Litér,Veszprémi településegyüttes,településegyüttes,egyéb,n/a
Lókút,Veszprémi településegyüttes,településegyüttes,egyéb,n/a
Márkó,Veszprémi településegyüttes,településegyüttes,egyéb,n/a
Nagyesztergár,Veszprémi településegyüttes,településegyüttes,egyéb,n/a
Nemesvámos,Veszprémi településegyüttes,településegyüttes,egyéb,n/a
Olaszfalu,Veszprémi településegyüttes,településegyüttes,egyéb,n/a
Porva,Veszprémi településegyüttes,településegyüttes,egyéb,n/a
Pénzesgyőr,Veszprémi településegyüttes,településegyüttes,egyéb,n/a
Szentgál,Veszprémi településegyüttes,településegyüttes,egyéb,n/a
Szentkirályszabadja,Veszprémi településegyüttes,településegyüttes,egyéb,n/a
Sóly,Veszprémi településegyüttes,településegyüttes,egyéb,n/a
Tótvázsony,Veszprémi településegyüttes,településegyüttes,egyéb,n/a
Veszprém,Veszprémi településegyüttes,településegyüttes,központ,n/a
Veszprémfajsz,Veszprémi településegyüttes,településegyüttes,egyéb,n/a
Vilonya,Veszprémi településegyüttes,településegyüttes,egyéb,n/a
Zirc,Veszprémi településegyüttes,településegyüttes,egyéb,n/a
Öskü,Veszprémi településegyüttes,településegyüttes,egyéb,n/a
Úrkút,Veszprémi településegyüttes,településegyüttes,egyéb,n/a
Alibánfa,Zalaegerszegi agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Almásháza,Zalaegerszegi agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Alsónemesapáti,Zalaegerszegi agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Babosdöbréte,Zalaegerszegi agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Bagod,Zalaegerszegi agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Bak,Zalaegerszegi agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Baktüttös,Zalaegerszegi agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Becsvölgye,Zalaegerszegi agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Bocfölde,Zalaegerszegi agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Boncodfölde,Zalaegerszegi agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Böde,Zalaegerszegi agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Búcsúszentlászló,Zalaegerszegi agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Csatár,Zalaegerszegi agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Csonkahegyhát,Zalaegerszegi agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Dobronhegy,Zalaegerszegi agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Egervár,Zalaegerszegi agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Gellénháza,Zalaegerszegi agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Gombosszeg,Zalaegerszegi agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Gősfa,Zalaegerszegi agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Hagyárosbörönd,Zalaegerszegi agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Hottó,Zalaegerszegi agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Kemendollár,Zalaegerszegi agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Kisbucsa,Zalaegerszegi agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Kiskutas,Zalaegerszegi agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Kispáli,Zalaegerszegi agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Kávás,Zalaegerszegi agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Lakhegy,Zalaegerszegi agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Lickóvadamos,Zalaegerszegi agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Milejszeg,Zalaegerszegi agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Misefa,Zalaegerszegi agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Nagykapornak,Zalaegerszegi agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Nagykutas,Zalaegerszegi agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Nagylengyel,Zalaegerszegi agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Nagypáli,Zalaegerszegi agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Nemesapáti,Zalaegerszegi agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Nemesszentandrás,Zalaegerszegi agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Nemessándorháza,Zalaegerszegi agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Németfalu,Zalaegerszegi agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Ormándlak,Zalaegerszegi agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Ozmánbük,Zalaegerszegi agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Pakod,Zalaegerszegi agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Pethőhenye,Zalaegerszegi agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Petrikeresztúr,Zalaegerszegi agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Pusztaederics,Zalaegerszegi agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Pusztaszentlászló,Zalaegerszegi agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Pálfiszeg,Zalaegerszegi agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Pókaszepetk,Zalaegerszegi agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Salomvár,Zalaegerszegi agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Szentkozmadombja,Zalaegerszegi agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Szilvágy,Zalaegerszegi agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Sárhida,Zalaegerszegi agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Söjtör,Zalaegerszegi agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Teskánd,Zalaegerszegi agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Tófej,Zalaegerszegi agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Vasboldogasszony,Zalaegerszegi agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Vaspör,Zalaegerszegi agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Vöckönd,Zalaegerszegi agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Zalaboldogfa,Zalaegerszegi agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Zalabér,Zalaegerszegi agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Zalacséb,Zalaegerszegi agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Zalaegerszeg,Zalaegerszegi agglomerálódó térség,agglomerálódó térség,központ,n/a
Zalaháshágy,Zalaegerszegi agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Zalaistvánd,Zalaegerszegi agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Zalaszentgyörgy,Zalaegerszegi agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Zalaszentiván,Zalaegerszegi agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Zalaszentlőrinc,Zalaegerszegi agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Zalaszentmihály,Zalaegerszegi agglomerálódó térség,agglomerálódó térség,egyéb,n/a
